material,substance,weight_mg,category,raw_material,template,source_file
Aluminum Oxide (Al2O3),,4.7,Metal Oxide,Aluminum oxide(Al2O3),template2,150060BS75000.pdf
Gallium Nitride (GaN),,3.5,Compound Semiconductor,Gallium nitride(GaN),template2,150060BS75000.pdf
Indium Nitride (InN),,1.8,Compound Semiconductor,Indium nitride(InN),template2,150060BS75000.pdf
Gold (Au),,10,Metal,Gold(Au),template2,150060BS75000.pdf
Epoxy Resin (Bisphenol A DGEBA),,7.5,Polymer,Bisphenol A diglycidyl ether resin,template2,150060BS75000.pdf
Additives (Trade Secret),,2.5,Additive,Trade secret,template2,150060BS75000.pdf
Epoxy Resin (Bisphenol A DGEBA),,9.7,Polymer,Bisphenol A-Bisphenol A diglycidyl ether polymer,template2,150060BS75000.pdf
Additives (Trade Secret),,0.3,Additive,Trade secret,template2,150060BS75000.pdf
Epoxy Resin (Bisphenol A DGEBA),,2.8,Polymer,Bisphenol A diglycidyl ether resin,template2,150060BS75000.pdf
Epoxy Resin (o-Cresol Novolac),,2.047,Polymer,"o-Cresol, formaldehyde, epichlorohydrin polymer",template2,150060BS75000.pdf
Glass Fiber,,2,Composite,Glass fiber,template2,150060BS75000.pdf
Epoxy Resin (Phenol-Formaldehyde),,3.153,Polymer,"Formaldehyde, polymer with (chloromethyl)oxirane and phenol",template2,150060BS75000.pdf
Nickel (Ni),,4.4,Metal,Nickel(Ni),template2,150060BS75000.pdf
Copper (Cu),,5.5,Metal,Copper(Cu),template2,150060BS75000.pdf
Gold (Au),,0.1,Metal,Gold(Au),template2,150060BS75000.pdf
