material,substance,weight_mg,category,raw_material,template,source_file
Aluminum (Al),,1.7,Metal,Aluminium(Al),template2,150080VS75000.pdf
Gallium (Ga),,2.6,Metal,Gallium(Ga),template2,150080VS75000.pdf
Indium (In),,4.8,Metal,Indium(In),template2,150080VS75000.pdf
Phosphorus (P),,0.9,Non-Metal,Phosphorus(P),template2,150080VS75000.pdf
Gold (Au),,10,Metal,Gold(Au),template2,150080VS75000.pdf
Silver (Ag),,7.5,Metal,Silver(Ag),template2,150080VS75000.pdf
Epoxy Resin (Phenol-Formaldehyde),,1.9,Polymer,"Formaldehyde, polymer with (chloromethyl)oxirane and phenol",template2,150080VS75000.pdf
Additives (Trade Secret),,0.6,Additive,Trade secret,template2,150080VS75000.pdf
Epoxy Resin (Bisphenol A DGEBA),,10,Polymer,Bisphenol A-Bisphenol A diglycidyl ether polymer,template2,150080VS75000.pdf
Epoxy Resin (Bisphenol A DGEBA),,2.8,Polymer,Bisphenol A diglycidyl ether resin,template2,150080VS75000.pdf
Epoxy Resin (o-Cresol Novolac),,2.047,Polymer,"o-Cresol, formaldehyde, epichlorohydrin polymer",template2,150080VS75000.pdf
Glass Fiber,,2,Composite,Glass fiber,template2,150080VS75000.pdf
Epoxy Resin (Phenol-Formaldehyde),,3.153,Polymer,"Formaldehyde, polymer with (chloromethyl)oxirane and phenol",template2,150080VS75000.pdf
Nickel (Ni),,4.4,Metal,Nickel(Ni),template2,150080VS75000.pdf
Copper (Cu),,5.5,Metal,Copper(Cu),template2,150080VS75000.pdf
Gold (Au),,0.1,Metal,Gold(Au),template2,150080VS75000.pdf
