material,substance,weight_mg,category,raw_material,template,source_file
Copper (Cu),7440-50-8,0.020894,Metal,Copper,template7,LMH6642MFNOPB.xlsx
Gold (Au),7440-57-5,0.000118,Metal,Gold,template7,LMH6642MFNOPB.xlsx
Palladium (Pd),7440-05-3,0.000603,Metal,Palladium,template7,LMH6642MFNOPB.xlsx
Silver (Ag),7440-22-4,0.09,Metal,Silver,template7,LMH6642MFNOPB.xlsx
Epoxy Resin,85954-11-6,0.03,Polymer,Epoxy,template7,LMH6642MFNOPB.xlsx
Copper (Cu),7440-50-8,5.31834,Metal,Copper,template7,LMH6642MFNOPB.xlsx
Iron (Fe),7439-89-6,0.14248,Metal,Iron,template7,LMH6642MFNOPB.xlsx
Phosphorus (P),7723-14-0,0.00822,Non-Metal,Phosphorus,template7,LMH6642MFNOPB.xlsx
Zinc (Zn),7440-66-6,0.01096,Metal,Zinc,template7,LMH6642MFNOPB.xlsx
Fused Silica (SiO2),60676-86-0,10.590836,Metal Oxide,Fused Silica,template7,LMH6642MFNOPB.xlsx
Carbon Black,1333-86-4,0.036105,Filler,Carbon Black,template7,LMH6642MFNOPB.xlsx
Chlorine (Cl),7782-50-5,0.00012,Halogen,Chlorine,template7,LMH6642MFNOPB.xlsx
Epoxy Resin,85954-11-6,1.407979,Polymer,Epoxy,template7,LMH6642MFNOPB.xlsx
Doped Silicon (Si),7440-21-3,0.212404,Metalloid,Doped Silicon,template7,LMH6642MFNOPB.xlsx
