material,substance,weight_mg,category,raw_material,template,source_file
Lead (Pb),7439-92-1,0.1261,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.1395,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.7467,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5722,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3067,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3067,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5732,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3085,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3085,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,2.1086,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5508,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,15.2422,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5722,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,2.0813,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3067,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3067,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,1.2247,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5732,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.5732,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,2.0184,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.1015,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3085,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.3085,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,10.1778,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,7.2628,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,2.28,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,7.2628,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,17.6657,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,4.033,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,7.4225,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,25.1476,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,25.1476,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.0117,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.0117,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
Lead (Pb),7439-92-1,0.0117,Metal,Lead (Pb),template14,RBR3LAM40ATR.pdf
