material,substance,weight_mg,category,raw_material,template,source_file
Silicon (Si),7440-21-3,0.49,Metalloid,Silicon (Si),template4,SZMM3Z10VST1G.pdf
Nickel (Ni),7440-02-0,0.3122,Metal,Nickel (Ni),template4,SZMM3Z10VST1G.pdf
Iron (Fe),7439-89-6,0.4317,Metal,Iron (Fe),template4,SZMM3Z10VST1G.pdf
Copper (Cu),7440-50-8,0.1161,Metal,Copper (Cu),template4,SZMM3Z10VST1G.pdf
Boron Zinc Hydroxide Oxide,138265-88-0,0.0906,Hydroxide,Boron zinc hydroxide oxide,template4,SZMM3Z10VST1G.pdf
Zinc Oxide (ZnO),1314-13-2,0.0151,Metal Oxide,Zinc Monoxide (ZnO),template4,SZMM3Z10VST1G.pdf
Melamine-Based Flame Retardant,37640-57-6,0.0906,Additive,"2,4,6-triamino-s-triazincompd.withs-",template4,SZMM3Z10VST1G.pdf
Silicon Dioxide (SiO2),7631-86-9,2.416,Metal Oxide,Silica Amorphous (SiO2),template4,SZMM3Z10VST1G.pdf
Carbon Black,1333-86-4,0.0302,Filler,Carbon Black (C),template4,SZMM3Z10VST1G.pdf
Epoxy Resin (o-Cresol Novolac),29690-82-2,0.2416,Polymer,Ortho-Cresol Novolac Resin,template4,SZMM3Z10VST1G.pdf
Phenolic Resin,9003-35-4,0.1359,Polymer,Phenolic Resin (Novolac),template4,SZMM3Z10VST1G.pdf
Tin (Sn),7440-31-5,0.13,Metal,Tin (Sn),template4,SZMM3Z10VST1G.pdf
Copper (Cu),7440-50-8,0.01,Metal,Copper (Cu),template4,SZMM3Z10VST1G.pdf
