material,substance,weight_mg,category,raw_material,template,source_file
Glass Oxide,65997-17-3,0.00022,Glass,"Glass, oxide",template9,CRCW0402680RJNED.pdf
Silver (Ag),7440-22-4,0.00619,Metal,Silver,template9,CRCW0402680RJNED.pdf
Aluminum Oxide (Al2O3),1344-28-1,0.48894,Metal Oxide,Aluminium oxide,template9,CRCW0402680RJNED.pdf
Calcium Oxide (CaO),1305-78-8,0.00102,Metal Oxide,Calcium oxide,template9,CRCW0402680RJNED.pdf
Magnesium Oxide (MgO),1309-48-4,0.00407,Metal Oxide,Magnesium oxide,template9,CRCW0402680RJNED.pdf
Silicon Dioxide (SiO2),14808-60-7,0.01528,Metal Oxide,Silicon dioxide,template9,CRCW0402680RJNED.pdf
Chromium (Cr),7440-47-3,0.00009,Metal,Chromium,template9,CRCW0402680RJNED.pdf
Copper (Cu),7440-50-8,0.00004,Metal,Copper,template9,CRCW0402680RJNED.pdf
Nickel (Ni),7440-02-0,0.00015,Metal,Nickel,template9,CRCW0402680RJNED.pdf
Nickel (Ni),7440-02-0,0.03311,Metal,Nickel,template9,CRCW0402680RJNED.pdf
Carbon Black,1333-86-4,0.00039,Filler,Carbon black,template9,CRCW0402680RJNED.pdf
Epoxy Resin,25068-38-6,0.00936,Polymer,Epoxy resin,template9,CRCW0402680RJNED.pdf
Silicon Dioxide (SiO2),60676-86-0,0.00325,Metal Oxide,Silicon dioxide,template9,CRCW0402680RJNED.pdf
Lead-Containing Glass Frit,65997-18-4,0.00373,Glass,Lead silicate [Glass],template9,CRCW0402680RJNED.pdf
Lead-Containing Glass Frit,65997-18-4,0.00223,Glass,Lead silicate [Glass],template9,CRCW0402680RJNED.pdf
Palladium (Pd),7440-05-3,0.00056,Metal,Palladium,template9,CRCW0402680RJNED.pdf
Ruthenium Oxide (RuO2),12036-10-1,0.00216,Metal Oxide,Ruthenium oxide,template9,CRCW0402680RJNED.pdf
Silver (Ag),7440-22-4,0.00249,Metal,Silver,template9,CRCW0402680RJNED.pdf
Tin (Sn),7440-31-5,0.03311,Metal,Tin,template9,CRCW0402680RJNED.pdf
Glass Oxide,65997-17-3,0.00027,Glass,"Glass, oxide",template9,CRCW0402680RJNED.pdf
Palladium (Pd),7440-05-3,0.00007,Metal,Palladium,template9,CRCW0402680RJNED.pdf
Silver (Ag),7440-22-4,0.01321,Metal,Silver,template9,CRCW0402680RJNED.pdf
