material,substance,weight_mg,category,raw_material,template,source_file
Glass Oxide,65997-17-3,0.0002,Glass,"Glass, oxide",template9,CRCW060310K0JNEA.pdf
Silver (Ag),7440-22-4,0.00562,Metal,Silver,template9,CRCW060310K0JNEA.pdf
Aluminum Oxide (Al2O3),1344-28-1,1.73908,Metal Oxide,Aluminium oxide,template9,CRCW060310K0JNEA.pdf
Calcium Oxide (CaO),1305-78-8,0.00362,Metal Oxide,Calcium oxide,template9,CRCW060310K0JNEA.pdf
Magnesium Oxide (MgO),1309-48-4,0.02355,Metal Oxide,Magnesium oxide,template9,CRCW060310K0JNEA.pdf
Silicon Dioxide (SiO2),14808-60-7,0.04529,Metal Oxide,Silicon dioxide,template9,CRCW060310K0JNEA.pdf
Chromium (Cr),7440-47-3,0.00022,Metal,Chromium,template9,CRCW060310K0JNEA.pdf
Copper (Cu),7440-50-8,0.00009,Metal,Copper,template9,CRCW060310K0JNEA.pdf
Nickel (Ni),7440-02-0,0.00027,Metal,Nickel,template9,CRCW060310K0JNEA.pdf
Nickel (Ni),7440-02-0,0.0741,Metal,Nickel,template9,CRCW060310K0JNEA.pdf
Carbon Black,1333-86-4,0.0018,Filler,Carbon black,template9,CRCW060310K0JNEA.pdf
Epoxy Resin,25068-38-6,0.014,Polymer,Epoxy resin,template9,CRCW060310K0JNEA.pdf
Silicon Dioxide (SiO2),60676-86-0,0.01192,Metal Oxide,Silicon dioxide,template9,CRCW060310K0JNEA.pdf
Lead-Containing Glass Frit,65997-18-4,0.00749,Glass,Lead silicate [Glass],template9,CRCW060310K0JNEA.pdf
Lead-Containing Glass Frit,65997-18-4,0.0048,Glass,Lead silicate [Glass],template9,CRCW060310K0JNEA.pdf
Palladium (Pd),7440-05-3,0.00069,Metal,Palladium,template9,CRCW060310K0JNEA.pdf
Ruthenium Oxide (RuO2),12036-10-1,0.00363,Metal Oxide,Ruthenium oxide,template9,CRCW060310K0JNEA.pdf
Silver (Ag),7440-22-4,0.00459,Metal,Silver,template9,CRCW060310K0JNEA.pdf
Tin (Sn),7440-31-5,0.0741,Metal,Tin,template9,CRCW060310K0JNEA.pdf
Glass Oxide,65997-17-3,0.00037,Glass,"Glass, oxide",template9,CRCW060310K0JNEA.pdf
Palladium (Pd),7440-05-3,0.00012,Metal,Palladium,template9,CRCW060310K0JNEA.pdf
Silver (Ag),7440-22-4,0.0243,Metal,Silver,template9,CRCW060310K0JNEA.pdf
