material,substance,weight_mg,category,raw_material,template,source_file
Aluminum Oxide (Al2O3),1344-28-1,4.3718,Metal Oxide,aluminum oxide,template12,HCJ0805ZT0R00.pdf
Silicon Dioxide (SiO2),14808-60-7,0.1366,Metal Oxide,silicon dioxide,template12,HCJ0805ZT0R00.pdf
Magnesium Oxide (MgO),1309-48-4,0.0455,Metal Oxide,magnesium oxide,template12,HCJ0805ZT0R00.pdf
Copper (Cu),7440-50-8,1.6698,Metal,copper,template12,HCJ0805ZT0R00.pdf
Copper (Cu),7440-50-8,0.9510,Metal,copper,template12,HCJ0805ZT0R00.pdf
Epoxy Resin,25085-99-8,0.0683,Polymer,epoxy,template12,HCJ0805ZT0R00.pdf
Barium Sulfate (BaSO4),,0.0668,Salt,barium sulfate,template12,HCJ0805ZT0R00.pdf
Pigment (Unknown 1),,0.0008,Pigment,pigment 1,template12,HCJ0805ZT0R00.pdf
Pigment (Unknown 2),,0.0008,Pigment,pigment 2,template12,HCJ0805ZT0R00.pdf
Solvent (Aromatic Naphtha),,0.0152,Solvent,naphtha,template12,HCJ0805ZT0R00.pdf
Epoxy Resin,25068-38-6,0.0759,Polymer,epoxy resin,template12,HCJ0805ZT0R00.pdf
Nickel (Ni),7440-02-0,0.0797,Metal,nickel,template12,HCJ0805ZT0R00.pdf
Nickel (Ni),7440-02-0,0.0085,Metal,nickel,template12,HCJ0805ZT0R00.pdf
Chromium (Cr),7440-47-3,0.0021,Metal,chromium,template12,HCJ0805ZT0R00.pdf
Tin (Sn),7440-31-5,0.0972,Metal,tin,template12,HCJ0805ZT0R00.pdf
