material,substance,weight_mg,category,raw_material,template,source_file
Gallium Arsenide (GaAs),1303-00-0,0.06889,Compound Semiconductor,GaAs,template8,LTST-C190KGKT.pdf
Aluminum (Al),7429-90-5,0.003071,Metal,Al,template8,LTST-C190KGKT.pdf
Gallium Phosphide (GaP),12063-98-8,0.002656,Compound Semiconductor,GaP,template8,LTST-C190KGKT.pdf
Gold (Au),7440-57-5,0.001909,Metal,Au,template8,LTST-C190KGKT.pdf
Indium (In),7440-74-6,0.006474,Metal,In,template8,LTST-C190KGKT.pdf
Silver (Ag),7440-22-4,0.01275,Metal,Ag,template8,LTST-C190KGKT.pdf
Epoxy Resin,29690-82-2,0.00225,Polymer,epoxy,template8,LTST-C190KGKT.pdf
Glass Fiber,65997-17-3,0.3654,Composite,Fiber class,template8,LTST-C190KGKT.pdf
Copper (Cu),7440-50-8,0.1218,Metal,copper,template8,LTST-C190KGKT.pdf
Copper (Cu),7440-50-8,0.1596296296,Metal,Cu,template8,LTST-C190KGKT.pdf
Nickel (Ni),7440-02-0,0.0305930185,Metal,Ni,template8,LTST-C190KGKT.pdf
Silver (Ag),7440-22-4,0.0239444444,Metal,Ag,template8,LTST-C190KGKT.pdf
Gold (Au),7440-57-5,0.0013329074,Metal,Au,template8,LTST-C190KGKT.pdf
Solvent (Aromatic Naphtha),a64742-94-5,0.00255,Solvent,eavy aromatic solvent naphth,template8,LTST-C190KGKT.pdf
Epoxy Resin (TGIC),2885-96-9,0.0051,Polymer,Triglycidyl isocyanurate,template8,LTST-C190KGKT.pdf
Gold (Au),7440-57-5,0.05,Metal,Au,template8,LTST-C190KGKT.pdf
Epidian,25068-38-6,0.4214,Unknown,Epidian,template8,LTST-C190KGKT.pdf
Curing Agent (THPA),85~43-8,0.1806,Polymer Additive,Tetrahydrophthalic Anhydride,template8,LTST-C190KGKT.pdf
