material,substance,weight_mg,category,raw_material,template,source_file
Aluminum Oxide (Al2O3),1344-28-1,1.85795,Metal Oxide,Al2O3,template13,RT0603BRC07500RL.pdf
Silicon Dioxide (SiO2),14808-60-7,0.05613,Metal Oxide,SiO2,template13,RT0603BRC07500RL.pdf
Calcium Oxide (CaO),1305-78-8,0.01161,Metal Oxide,CaO,template13,RT0603BRC07500RL.pdf
Magnesium Oxide (MgO),1309-48-4,0.00968,Metal Oxide,MgO,template13,RT0603BRC07500RL.pdf
Silver (Ag),7440-22-4,0.02105,Metal,Ag,template13,RT0603BRC07500RL.pdf
Palladium (Pd),7440-05-3,0.0006,Metal,Pd,template13,RT0603BRC07500RL.pdf
Lead-Containing Glass Frit,65997-18-4,0.0001,Glass,Glass frit (Contains Pb),template13,RT0603BRC07500RL.pdf
Silver (Ag),7440-22-4,0.00814,Metal,Ag,template13,RT0603BRC07500RL.pdf
Lead-Free Glass (Bi-Si-B),65997-17-3,0.00144,Glass,"Glass (Pb free) (contains Bismuth, Silicon & Boron)",template13,RT0603BRC07500RL.pdf
Nickel (Ni),7440-02-0,0.00064,Metal,Ni,template13,RT0603BRC07500RL.pdf
Chromium (Cr),7440-47-3,0.00058,Metal,CR,template13,RT0603BRC07500RL.pdf
Silicon (Si),7440-21-3,0.00006,Metalloid,Si,template13,RT0603BRC07500RL.pdf
Nickel (Ni),7440-02-0,0.00038,Metal,Ni,template13,RT0603BRC07500RL.pdf
Chromium (Cr),7440-47-3,0.00009,Metal,Cr,template13,RT0603BRC07500RL.pdf
Nickel (Ni),7440-02-0,0.06408,Metal,Ni,template13,RT0603BRC07500RL.pdf
Tin (Sn),7440-31-5,0.06307,Metal,Sn,template13,RT0603BRC07500RL.pdf
Epoxy Resin,25068-38-6,0.03045,Polymer,Epoxy resin,template13,RT0603BRC07500RL.pdf
Epoxy Resin,25068-38-6,0.00168,Polymer,Epoxy resin,template13,RT0603BRC07500RL.pdf
