material,substance,weight_mg
Silver (Ag),7440-22-4,0.056
Poly(isobornyl) methacrylate,64114-51-8,0.007
Polysiloxanes,63148-53-8,0.0007
Palladium (Pd),7440-05-3,0.000007
Silicon (Si),7440-21-3,0.498
Copper (Cu),7440-50-8,2.704913
Nickel (Ni),7440-02-0,0.084353
Silicon (Si),7440-21-3,0.018276
Magnesium (Mg),7439-95-4,0.004217
Nickel (Ni),7440-02-0,0.074013
Palladium (Pd),7440-05-3,0.003266
Gold (Au),7440-57-5,0.000962
Silica fused,60676-86-0,2.238
Silica,7631-86-9,0.8579
Aluminium hydroxide (Al(OH)3),21645-51-2,0.1119
Bismuth (Bi),7440-69-9,0.01865
Carbon black,1333-86-4,0.01865
Tin (Sn),7440-31-5,0.169898
Lead (Pb),7439-92-1,0.000008
Copper (Cu),7440-50-8,0.045431
